array_bytes,array_kb,copy_gb_per_s,sum_gb_per_s
4096,4.0000,249.011300,26.687199
8192,8.0000,249.984000,20.777891
16384,16.0000,260.145951,18.625118
32768,32.0000,163.588583,17.649872
65536,64.0000,221.325730,17.591622
131072,128.0000,191.506395,17.148294
262144,256.0000,171.943914,17.185152
524288,512.0000,171.943914,17.240737
1048576,1024.0000,167.325957,17.068519
2097152,2048.0000,167.772160,17.217997
4194304,4096.0000,168.736368,17.179712
8388608,8192.0000,129.720742,16.743729
16777216,16384.0000,108.240103,17.207401
33554432,32768.0000,108.942961,17.102157
67108864,65536.0000,104.775744,17.032707
134217728,131072.0000,107.632500,17.058684
268435456,262144.0000,106.818725,16.950963
