Count of A booklets   = 125
Count of B booklets   = 207
Count of all booklets = 384

Using Booklet A numbering:
Q    NoC
001  41
002  59
003  41
004  59
005  159
006  169
007  91
008  185
009  117
010  148
011  61
012  119
013  40
014  50
015  68
016  32
017  84
018  182
019  153
020  64
021  79
022  90
023  65
024  63
025  91
026  69
027  143
028  86
029  39
030  103
031  52
032  42
033  76
034  79
035  84
036  92
037  100
038  116
039  54
040  113
041  51
042  51
043  69
044  72
045  145
046  131
047  50
048  71
049  91
050  0
